tconst,genres
tt0080962,Ciencia Ficción
tt0080971,Acción
tt0080971,Comedy
tt0080971,Drama
tt0080996,Acción
tt0080996,Comedy
tt0081010,Acción
tt0081015,Acción
tt0081015,Comedy
tt0081019,Acción
tt0081019,Drama
tt0081019,Ciencia Ficción
tt0081027,Terror
tt0081031,Adventure
tt0081031,Family
tt0081034,Terror
tt0081056,Comedy
tt0081056,Fantasía
tt0081056,Terror
tt0081057,Adventure
tt0081057,Crime
tt0081057,Romance
tt0081073,Adventure
tt0081073,Crime
tt0081073,Drama
tt0081081,Acción
tt0081081,Crime
tt0081081,Drama
tt0081107,Comedy
tt0081107,Terror
tt0081111,Adventure
tt0081111,Drama
tt0081111,History
tt0081112,Adventure
tt0081112,Terror
tt0081114,Crime
tt0081114,Drama
tt0081114,Terror
tt0081168,Acción
tt0081168,Drama
tt0081178,Comedy
tt0081178,Terror
tt0081178,Musical
tt0081182,Drama
tt0081182,Ciencia Ficción
tt0081182,Thriller
tt0081184,Comedy
tt0081184,Terror
tt0081184,Thriller
tt0081186,Comedy
tt0081186,Terror
tt0081186,Thriller
tt0081187,Adventure
tt0081187,Drama
tt0081187,Western
tt0081193,Crime
tt0081193,Terror
tt0081203,Terror
tt0081203,Mystery
tt0081203,Ciencia Ficción
tt0081216,Acción
tt0081216,Comedy
tt0081216,Drama
tt0081229,Terror
tt0081230,Acción
tt0081230,Crime
tt0081230,Drama
tt0081232,Crime
tt0081232,Terror
tt0081232,Mystery
tt0081233,Terror
tt0081233,Thriller
tt0081236,Acción
tt0081237,Comedy
tt0081237,Drama
tt0081237,Terror
tt0081248,Terror
tt0081249,Acción
tt0081249,Comedy
tt0081249,Crime
tt0081250,Drama
tt0081250,Terror
tt0081250,Mystery
tt0081259,Acción
tt0081259,Drama
tt0081259,Romance
tt0081268,Comedy
tt0081268,Fantasía
tt0081269,Comedy
tt0081269,Crime
tt0081269,Fantasía
tt0081286,Terror
tt0081286,Mystery
tt0081313,Acción
tt0081313,Crime
tt0081314,Crime
tt0081314,Terror
tt0081314,Ciencia Ficción
tt0081318,Terror
tt0081334,Drama
tt0081334,Terror
tt0081334,Thriller
tt0081350,Adventure
tt0081350,Animación
tt0081350,Family
tt0081353,Adventure
tt0081353,Comedy
tt0081353,Family
tt0081366,Terror
tt0081373,Family
tt0081373,Fantasía
tt0081373,Musical
tt0081383,Terror
tt0081383,Mystery
tt0081383,Thriller
tt0081400,Acción
tt0081400,Adventure
tt0081400,Drama
tt0081401,Acción
tt0081401,Comedy
tt0081401,Drama
tt0081404,Acción
tt0081411,Comedy
tt0081411,Fantasía
tt0081414,Drama
tt0081414,Fantasía
tt0081415,Terror
tt0081421,Mystery
tt0081421,Ciencia Ficción
tt0081421,Thriller
tt0081432,Drama
tt0081432,Terror
tt0081432,Mystery
tt0081439,Adventure
tt0081439,Comedy
tt0081439,Crime
tt0081445,Acción
tt0081445,Adventure
tt0081445,Drama
tt0081447,Acción
tt0081447,Adventure
tt0081455,Terror
tt0081455,Ciencia Ficción
tt0081455,Thriller
tt0081457,Terror
tt0081457,Ciencia Ficción
tt0081459,Drama
tt0081459,Terror
tt0081459,Mystery
tt0081470,Acción
tt0081470,History
tt0081470,War
tt0081471,Comedy
tt0081471,Fantasía
tt0081489,Terror
tt0081491,Acción
tt0081491,Adventure
tt0081491,Comedy
tt0081494,Acción
tt0081494,Comedy
tt0081499,Acción
tt0081499,Adventure
tt0081499,Comedy
tt0081502,Acción
tt0081502,Comedy
tt0081505,Drama
tt0081505,Terror
tt0081506,Acción
tt0081506,Adventure
tt0081517,Acción
tt0081517,Drama
tt0081517,Sport
tt0081518,Comedy
tt0081518,Ciencia Ficción
tt0081529,Acción
tt0081529,Adventure
tt0081529,Comedy
tt0081534,Drama
tt0081534,Fantasía
tt0081534,Romance
tt0081561,Acción
tt0081561,Drama
tt0081561,Thriller
tt0081568,Acción
tt0081568,Comedy
tt0081568,Drama
tt0081573,Acción
tt0081573,Adventure
tt0081573,Ciencia Ficción
tt0081609,Acción
tt0081609,Crime
tt0081609,Drama
tt0081617,Terror
tt0081617,Mystery
tt0081617,Thriller
tt0081619,Crime
tt0081619,Terror
tt0081619,Music
tt0081626,Terror
tt0081626,Mystery
tt0081626,Thriller
tt0081633,Adventure
tt0081633,Comedy
tt0081633,Fantasía
tt0081648,Acción
tt0081648,Animación
